date,AUDUSD,EURUSD,GBPUSD,NZDUSD,CADUSD,CHFUSD,JPYUSD,NOKUSD,SEKUSD
2007-01-15,0.0006763514114752366,0.0007847246939588419,0.0034721532356506942,0.004996845883526252,0.00029967676885508314,-0.0005173921537437796,-0.0005203493102412141,0.00195452907577402,0.0006238876525663224
2007-01-16,-0.0021322791990554713,-0.0011494852803397518,-0.001168091252300936,0.0013832278110022243,-0.005924192961015172,0.0008329590136105585,-0.001932080521000181,-0.002686905152018709,-0.00023080942031091065
2007-01-17,0.005011406360217092,0.0020214823991224124,0.005038001226583302,-0.003517053049607133,0.002090263913256588,0.0010750598576423345,0.00022157920652724782,0.000633980590509492,-0.0003161663101740263
2007-01-18,0.002579044630286217,0.00024260262540286406,0.0002062952231328762,0.002681268276950246,-0.0009758339344060694,-0.0021316010858889243,-0.005981928482315968,-0.003316255629362069,-0.003161081517153816
2007-01-19,0.0016868082205077225,0.0011684530517016914,0.0015238699979513595,0.0018122834336098564,0.0026044127512898376,0.0009931707989211534,-0.00011177065649922919,0.004026701891737189,0.002785862072760237
2007-01-22,-0.0018632517743256798,-0.0013008578136064534,0.000459032135099535,0.004245216109802603,-0.0054032779216209,-0.0013301150395865285,-0.0029107041965709397,-0.0029786104953973434,-0.004238419527018378
2007-01-23,0.005228048675847075,0.005478176827853841,0.004248113145111044,0.004512451314082859,-0.003345307553990637,0.006621788062751145,0.0007112030730305212,0.008659615523901525,0.011098755827352874
2007-01-24,-0.013307541773407138,-0.005070361691806066,-0.00849802343873178,-0.007783768626936173,-0.0005465129341784437,-0.0072763337677360556,0.004095118748086145,0.007288388029983589,-0.005424133815834385
2007-01-25,-0.005736756926074808,0.0019382140330298841,0.0019347750224477588,0.005527486650193001,0.0029265509866829714,0.004202634037101487,0.00021990223212902115,0.006978796389123171,0.0013994199177791828
2007-01-26,-0.004735262248349065,-0.005472697958046355,-0.005693048892415575,-0.005646845343905664,-0.0005475199842195717,-0.007815032360264275,-0.0048136484117263754,-0.004537502791529607,-0.007518854544209477
2007-01-29,-0.0024226041953780155,0.003026167270905927,-0.000505306502244229,-6.0751975678726195e-05,-0.002917953402508056,-4.8161491260246636e-05,-0.003152792357206067,0.006552749720782608,0.008577040949366434
2007-01-30,0.0008145562893324196,0.00047353921727965773,0.0015345277363231487,-0.009591332276394825,0.0008075753264271826,0.0009100316305545137,0.0016126843921369467,0.00214679368061092,0.000787988774900736
2007-01-31,0.0023657933425957206,0.003707032314340915,0.00015744112901589614,-0.0044249800362944555,0.0017404156002413039,0.004916408476556545,0.005825451178563906,0.004467514507113729,0.0031138227014058965
2007-02-01,0.00016665771013906966,0.0008554099525661553,0.002296125712031437,-0.008259096635455963,0.0019985817029523896,0.001963103543907289,0.001793932005407844,0.0024986939695680723,0.0018002285220574522
2007-02-02,0.000812393490924633,-0.005302838627043871,-0.0005027360719220102,-0.0006510050051658302,-0.00681221218197071,-0.0046207436871659605,-0.004245331930669449,-0.005928838737332259,-0.007083960161645057
2007-02-05,0.0027448091386006067,-0.0016892839071544665,-0.002897374166378907,0.005807546291834581,0.0027502504798172867,0.00043358959555663294,0.007096747086327299,-0.0012416502395714178,-0.009078172541946768
2007-02-06,3.7400793650793645e-05,0.0025592106991411496,0.004689371592635476,-0.005778645498740876,-0.00012346550469953977,0.005818655257383806,-0.0006913227829884277,0.004468315229960868,0.002837682538348552
2007-02-07,0.001966785918502428,0.0038590773029480315,0.00036166690340735876,0.0077090898890987145,-0.0022358673158619606,0.0001955097598293029,-0.003924752253552743,0.00444103919744247,0.0055020952335839875
